"RelativePath","SizeBytes","SizeMB","Modified"
"results\MANIFEST.csv","0","0","2026-05-10T22:11:42"
"results\index\faiss.index","20918317","19,95","2026-05-09T21:47:21"
"results\index\metadata.jsonl","5501763","5,25","2026-05-09T21:47:21"
"results\model_configs\Modelfile","327","0","2026-05-10T21:14:47"
"results\model_configs\bge-m3-turkish-legal\config.json","773","0","2026-05-10T14:28:55"
"results\model_configs\bge-m3-turkish-legal\config_sentence_transformers.json","296","0","2026-05-10T14:28:55"
"results\model_configs\bge-m3-turkish-legal\modules.json","448","0","2026-05-10T14:28:57"
"results\model_configs\bge-m3-turkish-legal\README.md","63424","0,06","2026-05-10T14:28:57"
"results\model_configs\bge-m3-turkish-legal\sentence_bert_config.json","250","0","2026-05-10T14:28:57"
"results\model_configs\bge-m3-turkish-legal\tokenizer_config.json","426","0","2026-05-10T14:28:57"
"results\model_configs\bge-m3-turkish-legal\training_config.json","471","0","2026-05-10T14:28:57"
"results\model_configs\qwen25_lora\adapter_config.json","1150","0","2026-05-10T07:48:50"
"results\model_configs\qwen25_lora\adapter_model.safetensors","80792880","77,05","2026-05-10T07:48:50"
"results\model_configs\qwen25_lora\chat_template.jinja","2561","0","2026-05-10T07:48:50"
"results\model_configs\qwen25_lora\README.md","1475","0","2026-05-10T07:48:50"
"results\model_configs\qwen25_lora\tokenizer_config.json","724","0","2026-05-10T07:48:50"
"results\model_configs\qwen25_lora\training_config.json","1162","0","2026-05-10T07:48:51"
"results\processed_data\corpus_chunks.jsonl","5590746","5,33","2026-05-09T20:42:02"
"results\processed_data\merge_config.json","572","0","2026-05-09T22:18:08"
"results\processed_data\qa_eval.jsonl","2500808","2,38","2026-05-09T20:42:02"
"results\processed_data\qa_hmgs.jsonl","61932","0,06","2026-05-09T20:42:02"
"results\processed_data\qa_train.jsonl","5559126","5,3","2026-05-09T20:42:02"
"results\processed_data\qa_train_merged.jsonl","6255482","5,97","2026-05-09T22:18:08"
"results\processed_data\qa_train_rag.jsonl","101178533","96,49","2026-05-10T13:52:26"
"results\stage_results\ablation_summary.json","2154","0","2026-05-10T19:59:26"
"results\stage_results\stage1\baseline_metrics.json","1497","0","2026-05-09T22:15:58"
"results\stage_results\stage1\hallucination_results_rrf_rerank.json","192376","0,18","2026-05-09T22:13:34"
"results\stage_results\stage1\qa_predictions_rrf_rerank.jsonl","2385545","2,28","2026-05-09T22:09:44"
"results\stage_results\stage1\qa_results_rrf_rerank.json","273","0","2026-05-09T22:13:28"
"results\stage_results\stage1\retrieval_results.json","1817584","1,73","2026-05-09T21:50:47"
"results\stage_results\stage1\step1_progress_report.md","2488","0","2026-05-09T22:16:18"
"results\stage_results\stage1_ft\baseline_metrics.json","2124","0","2026-05-10T09:10:28"
"results\stage_results\stage_emb_finetuned\baseline_metrics.json","2101","0","2026-05-10T22:08:16"
"results\stage_results\stage_emb_finetuned\predictions.jsonl","2562481","2,44","2026-05-10T22:08:16"
"results\stage_results\stage_llm_finetuned\baseline_metrics.json","1996","0","2026-05-10T21:52:48"
"results\stage_results\stage_llm_finetuned\predictions.jsonl","2849170","2,72","2026-05-10T21:52:48"
